
 displacements (vx,vy,vz) for set SENSOR and time  0.3906250E-04

      7572  3.608854E-03 -6.163065E-03 -1.042112E-01

 displacements (vx,vy,vz) for set SENSOR and time  0.7812500E-04

      7572  1.170890E-02 -1.354000E-02 -2.163073E-01

 displacements (vx,vy,vz) for set SENSOR and time  0.1171875E-03

      7572 -7.466899E-03  1.366563E-02  2.212611E-01

 displacements (vx,vy,vz) for set SENSOR and time  0.1562500E-03

      7572 -1.331754E-02  2.229272E-03 -1.537541E-02

 displacements (vx,vy,vz) for set SENSOR and time  0.1953125E-03

      7572  2.667882E-02 -1.916099E-02 -2.218280E-01

 displacements (vx,vy,vz) for set SENSOR and time  0.2343750E-03

      7572  8.164712E-04  1.334668E-02  2.882744E-01

 displacements (vx,vy,vz) for set SENSOR and time  0.2734375E-03

      7572 -5.740940E-02  1.416501E-02 -6.341391E-02

 displacements (vx,vy,vz) for set SENSOR and time  0.3125000E-03

      7572  4.620140E-02 -2.950905E-02 -4.498444E-01

 displacements (vx,vy,vz) for set SENSOR and time  0.3515625E-03

      7572  1.112922E-01 -1.397717E-02  5.432018E-01

 displacements (vx,vy,vz) for set SENSOR and time  0.3906250E-03

      7572 -9.320691E-02  2.775191E-02  6.685979E-01

 displacements (vx,vy,vz) for set SENSOR and time  0.4296875E-03

      7572 -1.918155E-01  2.815447E-02 -5.940941E-01

 displacements (vx,vy,vz) for set SENSOR and time  0.4687500E-03

      7572 -2.032191E-02  3.528897E-02 -8.020246E-01

 displacements (vx,vy,vz) for set SENSOR and time  0.5078125E-03

      7572  2.801288E-02  3.391978E-02 -6.917724E-01

 displacements (vx,vy,vz) for set SENSOR and time  0.5468750E-03

      7572  5.765347E-02 -3.645695E-02 -1.444813E+00

 displacements (vx,vy,vz) for set SENSOR and time  0.5859375E-03

      7572  3.707498E-01 -1.265657E-01 -5.210167E-01

 displacements (vx,vy,vz) for set SENSOR and time  0.6250000E-03

      7572  4.847308E-01 -1.917468E-01  2.474045E+00

 displacements (vx,vy,vz) for set SENSOR and time  0.6640625E-03

      7572  8.838081E-02 -1.832672E-01  3.929116E+00

 displacements (vx,vy,vz) for set SENSOR and time  0.7031250E-03

      7572 -2.564468E-01  2.220002E-02  2.739594E+00

 displacements (vx,vy,vz) for set SENSOR and time  0.7421875E-03

      7572 -2.679512E-01  3.014724E-01  1.300196E+00

 displacements (vx,vy,vz) for set SENSOR and time  0.7812500E-03

      7572 -2.385327E-01  3.109270E-01  9.075907E-01

