
 displacements (vx,vy,vz) for set SENSOR and time  0.3906250E-04

      7572  5.115185E-03  1.121007E-02 -1.268504E-01

 displacements (vx,vy,vz) for set SENSOR and time  0.7812500E-04

      7572  1.484815E-02  2.498730E-02 -2.672838E-01

 displacements (vx,vy,vz) for set SENSOR and time  0.1171875E-03

      7572 -1.069495E-02 -2.351518E-02  2.652367E-01

 displacements (vx,vy,vz) for set SENSOR and time  0.1562500E-03

      7572 -1.311949E-02 -5.340649E-03 -5.188339E-03

 displacements (vx,vy,vz) for set SENSOR and time  0.1953125E-03

      7572  3.067709E-02  2.979736E-02 -2.728959E-01

 displacements (vx,vy,vz) for set SENSOR and time  0.2343750E-03

      7572 -2.278365E-03 -1.968366E-02  3.221425E-01

 displacements (vx,vy,vz) for set SENSOR and time  0.2734375E-03

      7572 -5.853418E-02 -1.595628E-02 -4.427239E-02

 displacements (vx,vy,vz) for set SENSOR and time  0.3125000E-03

      7572  4.988053E-02  3.947339E-02 -4.985084E-01

 displacements (vx,vy,vz) for set SENSOR and time  0.3515625E-03

      7572  1.092113E-01  4.884122E-03  5.622720E-01

 displacements (vx,vy,vz) for set SENSOR and time  0.3906250E-03

      7572 -9.345362E-02 -3.166738E-02  6.949279E-01

 displacements (vx,vy,vz) for set SENSOR and time  0.4296875E-03

      7572 -1.879189E-01 -1.231936E-02 -6.243601E-01

 displacements (vx,vy,vz) for set SENSOR and time  0.4687500E-03

      7572 -2.407445E-02 -4.242495E-02 -8.011469E-01

 displacements (vx,vy,vz) for set SENSOR and time  0.5078125E-03

      7572  2.584264E-02 -5.089742E-02 -6.976135E-01

 displacements (vx,vy,vz) for set SENSOR and time  0.5468750E-03

      7572  6.276585E-02  5.252492E-02 -1.449201E+00

 displacements (vx,vy,vz) for set SENSOR and time  0.5859375E-03

      7572  3.688568E-01  1.499814E-01 -4.714667E-01

 displacements (vx,vy,vz) for set SENSOR and time  0.6250000E-03

      7572  4.823516E-01  1.837604E-01  2.411692E+00

 displacements (vx,vy,vz) for set SENSOR and time  0.6640625E-03

      7572  9.275345E-02  1.405052E-01  3.877985E+00

 displacements (vx,vy,vz) for set SENSOR and time  0.7031250E-03

      7572 -2.611605E-01 -5.870113E-02  3.046505E+00

 displacements (vx,vy,vz) for set SENSOR and time  0.7421875E-03

      7572 -2.754021E-01 -2.578142E-01  1.503278E+00

 displacements (vx,vy,vz) for set SENSOR and time  0.7812500E-03

      7572 -2.354777E-01 -2.317897E-01  3.186844E-01

