
 displacements (vx,vy,vz) for set SENSOR and time  0.3906250E-04

      7572  4.629279E-03  6.176287E-04 -9.470729E-02

 displacements (vx,vy,vz) for set SENSOR and time  0.7812500E-04

      7572  5.802290E-03  2.684767E-03 -2.037134E-01

 displacements (vx,vy,vz) for set SENSOR and time  0.1171875E-03

      7572 -9.898513E-03 -8.505596E-04  1.998415E-01

 displacements (vx,vy,vz) for set SENSOR and time  0.1562500E-03

      7572  1.250213E-02 -5.084262E-03  6.311606E-03

 displacements (vx,vy,vz) for set SENSOR and time  0.1953125E-03

      7572 -9.602071E-03  5.361557E-03 -2.280029E-01

 displacements (vx,vy,vz) for set SENSOR and time  0.2343750E-03

      7572 -2.157020E-02  4.946304E-03  2.579045E-01

 displacements (vx,vy,vz) for set SENSOR and time  0.2734375E-03

      7572  6.063512E-02 -1.660827E-02  7.871123E-03

 displacements (vx,vy,vz) for set SENSOR and time  0.3125000E-03

      7572 -1.605154E-02  4.295028E-03 -5.072723E-01

 displacements (vx,vy,vz) for set SENSOR and time  0.3515625E-03

      7572 -1.518920E-01  4.639440E-02  4.307361E-01

 displacements (vx,vy,vz) for set SENSOR and time  0.3906250E-03

      7572  7.082468E-02 -8.398743E-03  9.704632E-01

 displacements (vx,vy,vz) for set SENSOR and time  0.4296875E-03

      7572  2.878059E-01 -1.059363E-01 -4.718605E-01

 displacements (vx,vy,vz) for set SENSOR and time  0.4687500E-03

      7572  5.537391E-02 -6.702802E-02 -1.541598E+00

 displacements (vx,vy,vz) for set SENSOR and time  0.5078125E-03

      7572 -1.611184E-01  7.655982E-02 -1.097152E+00

 displacements (vx,vy,vz) for set SENSOR and time  0.5468750E-03

      7572 -1.644470E-01  1.392948E-01 -5.406421E-01

 displacements (vx,vy,vz) for set SENSOR and time  0.5859375E-03

      7572 -3.243318E-01  1.000062E-01  4.563532E-01

 displacements (vx,vy,vz) for set SENSOR and time  0.6250000E-03

      7572 -3.764781E-01  7.381845E-02  2.492803E+00

 displacements (vx,vy,vz) for set SENSOR and time  0.6640625E-03

      7572 -6.639359E-03  5.754212E-02  3.585604E+00

 displacements (vx,vy,vz) for set SENSOR and time  0.7031250E-03

      7572  2.977136E-01 -5.186780E-02  2.453110E+00

 displacements (vx,vy,vz) for set SENSOR and time  0.7421875E-03

      7572  2.847536E-01 -2.025397E-01  7.529054E-01

 displacements (vx,vy,vz) for set SENSOR and time  0.7812500E-03

      7572  2.425987E-01 -2.154781E-01  1.259115E-02

