
 displacements (vx,vy,vz) for set SENSOR and time  0.1562500E-03

      2895 -5.106138E-03 -2.671823E-04  5.445571E-02

 displacements (vx,vy,vz) for set SENSOR and time  0.3125000E-03

      2895 -2.546657E-02 -2.499044E-03  3.070317E-01

 displacements (vx,vy,vz) for set SENSOR and time  0.4687500E-03

      2895 -2.876080E-02 -8.556015E-03  5.155820E-01

 displacements (vx,vy,vz) for set SENSOR and time  0.6250000E-03

      2895 -7.675053E-04 -1.824751E-02  5.216434E-01

 displacements (vx,vy,vz) for set SENSOR and time  0.7812500E-03

      2895  4.966186E-02 -2.697324E-02  2.309824E-01

 displacements (vx,vy,vz) for set SENSOR and time  0.9375000E-03

      2895  9.942383E-02 -2.716590E-02 -3.897364E-01

 displacements (vx,vy,vz) for set SENSOR and time  0.1093750E-02

      2895  1.219503E-01 -1.233240E-02 -1.256763E+00

 displacements (vx,vy,vz) for set SENSOR and time  0.1250000E-02

      2895  9.986300E-02  1.842253E-02 -2.150785E+00

 displacements (vx,vy,vz) for set SENSOR and time  0.1406250E-02

      2895  3.346494E-02  5.775253E-02 -2.765191E+00

 displacements (vx,vy,vz) for set SENSOR and time  0.1562500E-02

      2895 -5.879943E-02  9.109458E-02 -2.814490E+00

 displacements (vx,vy,vz) for set SENSOR and time  0.1718750E-02

      2895 -1.478724E-01  1.016328E-01 -2.158628E+00

 displacements (vx,vy,vz) for set SENSOR and time  0.1875000E-02

      2895 -2.058605E-01  7.758743E-02 -8.820959E-01

 displacements (vx,vy,vz) for set SENSOR and time  0.2031250E-02

      2895 -2.166182E-01  1.880579E-02  7.171162E-01

 displacements (vx,vy,vz) for set SENSOR and time  0.2187500E-02

      2895 -1.806642E-01 -6.056578E-02  2.231051E+00

 displacements (vx,vy,vz) for set SENSOR and time  0.2343750E-02

      2895 -1.129437E-01 -1.352547E-01  3.293385E+00

 displacements (vx,vy,vz) for set SENSOR and time  0.2500000E-02

      2895 -3.533687E-02 -1.774156E-01  3.709344E+00

 displacements (vx,vy,vz) for set SENSOR and time  0.2656250E-02

      2895  3.207217E-02 -1.675810E-01  3.504844E+00

 displacements (vx,vy,vz) for set SENSOR and time  0.2812500E-02

      2895  7.702551E-02 -1.035473E-01  2.877225E+00

 displacements (vx,vy,vz) for set SENSOR and time  0.2968750E-02

      2895  9.645392E-02 -3.111535E-03  2.079893E+00

 displacements (vx,vy,vz) for set SENSOR and time  0.3125000E-02

      2895  9.386036E-02  1.011519E-01  1.304667E+00

 displacements (vx,vy,vz) for set SENSOR and time  0.3281250E-02

      2895  7.528083E-02  1.735723E-01  6.216940E-01

 displacements (vx,vy,vz) for set SENSOR and time  0.3437500E-02

      2895  4.654753E-02  1.890863E-01  5.756479E-04

 displacements (vx,vy,vz) for set SENSOR and time  0.3593750E-02

      2895  1.313947E-02  1.433500E-01 -6.111436E-01

 displacements (vx,vy,vz) for set SENSOR and time  0.3750000E-02

      2895 -1.815925E-02  5.487934E-02 -1.207779E+00

 displacements (vx,vy,vz) for set SENSOR and time  0.3906250E-02

      2895 -3.797844E-02 -4.193577E-02 -1.697399E+00

 displacements (vx,vy,vz) for set SENSOR and time  0.4062500E-02

      2895 -3.553254E-02 -1.102318E-01 -1.945849E+00

 displacements (vx,vy,vz) for set SENSOR and time  0.4218750E-02

      2895 -2.737756E-03 -1.249836E-01 -1.867279E+00

 displacements (vx,vy,vz) for set SENSOR and time  0.4375000E-02

      2895  6.036069E-02 -8.228815E-02 -1.504923E+00

 displacements (vx,vy,vz) for set SENSOR and time  0.4531250E-02

      2895  1.419006E-01  1.667180E-04 -1.048658E+00

 displacements (vx,vy,vz) for set SENSOR and time  0.4687500E-02

      2895  2.190760E-01  9.143203E-02 -7.709017E-01

 displacements (vx,vy,vz) for set SENSOR and time  0.4843750E-02

      2895  2.644800E-01  1.606462E-01 -9.099248E-01

 displacements (vx,vy,vz) for set SENSOR and time  0.5000000E-02

      2895  2.561094E-01  1.895774E-01 -1.561838E+00

 displacements (vx,vy,vz) for set SENSOR and time  0.5156250E-02

      2895  1.870692E-01  1.790806E-01 -2.640251E+00

 displacements (vx,vy,vz) for set SENSOR and time  0.5312500E-02

      2895  7.059065E-02  1.470271E-01 -3.926152E+00

 displacements (vx,vy,vz) for set SENSOR and time  0.5468750E-02

      2895 -6.238589E-02  1.190543E-01 -5.180146E+00

 displacements (vx,vy,vz) for set SENSOR and time  0.5625000E-02

      2895 -1.727673E-01  1.165194E-01 -6.253766E+00

 displacements (vx,vy,vz) for set SENSOR and time  0.5781250E-02

      2895 -2.266267E-01  1.470146E-01 -7.137010E+00

 displacements (vx,vy,vz) for set SENSOR and time  0.5937500E-02

      2895 -2.071954E-01  2.013896E-01 -7.916358E+00

 displacements (vx,vy,vz) for set SENSOR and time  0.6093750E-02

      2895 -1.208742E-01  2.581917E-01 -8.670723E+00

 displacements (vx,vy,vz) for set SENSOR and time  0.6250000E-02

      2895  4.997665E-03  2.932109E-01 -9.371433E+00

 displacements (vx,vy,vz) for set SENSOR and time  0.6406250E-02

      2895  1.316052E-01  2.898154E-01 -9.853159E+00

 displacements (vx,vy,vz) for set SENSOR and time  0.6562500E-02

      2895  2.216026E-01  2.457530E-01 -9.883317E+00

 displacements (vx,vy,vz) for set SENSOR and time  0.6718750E-02

      2895  2.506960E-01  1.739000E-01 -9.298933E+00

 displacements (vx,vy,vz) for set SENSOR and time  0.6875000E-02

      2895  2.139146E-01  9.711578E-02 -8.135303E+00

 displacements (vx,vy,vz) for set SENSOR and time  0.7031250E-02

      2895  1.249571E-01  3.968710E-02 -6.666952E+00

 displacements (vx,vy,vz) for set SENSOR and time  0.7187500E-02

      2895  9.698539E-03  1.889356E-02 -5.323468E+00

 displacements (vx,vy,vz) for set SENSOR and time  0.7343750E-02

      2895 -1.031282E-01  3.973670E-02 -4.509854E+00

 displacements (vx,vy,vz) for set SENSOR and time  0.7500000E-02

      2895 -1.905548E-01  9.427579E-02 -4.417155E+00

 displacements (vx,vy,vz) for set SENSOR and time  0.7656250E-02

      2895 -2.406670E-01  1.651301E-01 -4.922080E+00

 displacements (vx,vy,vz) for set SENSOR and time  0.7812500E-02

      2895 -2.536045E-01  2.313401E-01 -5.634462E+00

 displacements (vx,vy,vz) for set SENSOR and time  0.7968750E-02

      2895 -2.389621E-01  2.743575E-01 -6.077264E+00

 displacements (vx,vy,vz) for set SENSOR and time  0.8125000E-02

      2895 -2.112654E-01  2.824023E-01 -5.913896E+00

 displacements (vx,vy,vz) for set SENSOR and time  0.8281250E-02

      2895 -1.852947E-01  2.523770E-01 -5.109454E+00

 displacements (vx,vy,vz) for set SENSOR and time  0.8437500E-02

      2895 -1.724823E-01  1.894581E-01 -3.942925E+00

 displacements (vx,vy,vz) for set SENSOR and time  0.8593750E-02

      2895 -1.788536E-01  1.050536E-01 -2.862197E+00

 displacements (vx,vy,vz) for set SENSOR and time  0.8750000E-02

      2895 -2.044273E-01  1.394762E-02 -2.254669E+00

